"pre","post"
7.78580667916685,8.24744898253883
7.61859983438626,6.67253545786683
8.65317375166342,9.31448428481345
3.6530293431133,4.58145219068514
5.07199819665402,5.96213418363015
7.98029043478891,9.9253404676768
8.6543117207475,7.90647716324066
3.67362711811438,2.38937485518037
1.02086717495695,2.18523863022568
7.02460534172133,8.00207983276425
4.7212753770873,4.36437127280307
5.46326484996825,6.23808237765785
1.45356233464554,1.52146671685524
4.10993782570586,5.45930807288742
9.50600191019475,9.35464079324807
6.91134464228526,8.1579171153975
7.14319225866348,8.37018178959641
4.84245678642765,6.47800374755351
1.0654202173464,0.912339239624503
7.83454966265708,9.39661800567836
